TaxNumCl_2023,Taxonomy,Common_Name,AlphaCode,Scientific_Name,NFA_new,NFA_min,NFA_max,NFA_Score,NFA_Uncertainty_pct,DFA_new,DFA_min,DFA_max,DFA_Score,DFA_Uncertainty_pct,FA_N&D,FA24,FA24_min,FA24_max,FA,FA_litSourceNo,FA_litSourceNo_rescaled,FA_valueRangeDif,FA_actVSsimSpp,uFA,uFA_old,FA_Reference,RSZt_new,RSZt_min,RSZt_max,RSZt_litSourceNo,RSZt_litSourceNo_rescaled,RSZt_valueRangeDif,RSZt_actVSsimSpp,uRSZt,RSZt_Score,RSZt_Uncertainty_pct,RSZt_Reference,MA_new,MA_min,MA_max,MA_litSourceNo,MA_litSourceNo_rescaled,MA_valueRangeDif,MA_actVSsimSpp,uMA,MA_Collision_Score,MA_Uncertainty_pct,MA_Reference,CV_new,uCV,CV_Best_Estimate_old,uCV_old
6932,Petrels and Fulmars,Northern Fulmar,NOFU,Fulmarus glacialis rodgersii,0.280,0.280,NA,4,0.250,0.540,0.540,NA,2,0.250,0.410,NA,NA,NA,0.410,2,0.667,0.000,0.500,0.389,0.250,"Drew et al. 2005, similar spp: PFSH: Carle et al. 2019",0.002,0.001,0.010,5,0.167,0.009,0.250,0.142,1,0.10,"Bradbury et al. 2014, Cook et al. 2012, Deakin et al. 2022, Furness et al. 2013, Johnston et al. 2014",0.280,0.280,NA,1,0.833,0.000,0.250,0.361,1,0.250,Krijgsveld et al. 2011,0.00059,0.020,5.330,0.006
6953,Petrels and Fulmars,Murphys Petrel,MUPE,Pterodroma ultima,NA,NA,NA,5,0.500,NA,NA,NA,5,0.500,NA,0.400,0.400,NA,0.400,1,0.833,0.000,0.250,0.361,0.500,Bonnet-Lebrun et al. 2021,0.002,0.001,0.010,5,0.167,0.009,0.500,0.225,1,0.50,"similar spp: NOFU: Bradbury et al. 2014, Cook et al. 2012, Deakin et al. 2022, Furness et al. 2013, Johnston et al. 2014",0.390,0.280,0.500,2,0.667,0.220,0.500,0.462,1,0.500,similar spp: Cook et al. 2012; NOFU: Krijgsveld et al. 2011,0.00049,0.038,7.000,0.125
6966,Petrels and Fulmars,Mottled Petrel,MOPE,Pterodroma inexpectata,NA,NA,NA,3,0.500,NA,NA,NA,5,0.500,NA,0.360,0.360,NA,0.360,1,0.833,0.000,0.500,0.444,0.500,similar spp: Bonnet-Lebrun et al. 2021,0.002,0.001,0.010,5,0.167,0.009,0.500,0.225,1,0.50,"similar spp: NOFU: Bradbury et al. 2014, Cook et al. 2012, Deakin et al. 2022, Furness et al. 2013, Johnston et al. 2014",0.390,0.280,0.500,2,0.667,0.220,0.500,0.462,1,0.500,similar spp: Cook et al. 2012; NOFU: Krijgsveld et al. 2011,0.00044,0.046,5.670,0.125
6976,Petrels and Fulmars,Hawaiian Petrel,HAPE,Pterodroma sandwichensis,0.603,0.485,0.720,3,0.500,0.617,0.470,0.765,5,0.500,0.610,NA,NA,NA,0.610,3,0.500,0.295,0.500,0.432,0.500,"similar spp: Drew et al. 2005; MUPE: Clay et al. 2017, BEPE: Raine et al. 2021",0.002,0.001,0.010,5,0.167,0.009,0.500,0.225,1,0.50,"similar spp: NOFU: Bradbury et al. 2014, Cook et al. 2012, Deakin et al. 2022, Furness et al. 2013, Johnston et al. 2014",0.390,0.280,0.500,2,0.667,0.220,0.500,0.462,1,0.500,similar spp: Cook et al. 2012; NOFU: Krijgsveld et al. 2011,0.00074,0.045,5.670,0.125
6983,Petrels and Fulmars,Cooks Petrel,COPE,Pterodroma cookii,NA,NA,NA,4,0.500,NA,NA,NA,5,0.500,NA,0.360,0.360,NA,0.360,3,0.500,0.000,0.250,0.250,0.500,"Bonnet-Lebrun et al. 2021, Carboneras et al. 2020d, Drew et al. 2005",0.002,0.001,0.010,5,0.167,0.009,0.500,0.225,1,0.50,"similar spp: NOFU: Bradbury et al. 2014, Cook et al. 2012, Deakin et al. 2022, Furness et al. 2013, Johnston et al. 2014",0.390,0.280,0.500,2,0.667,0.220,0.500,0.462,1,0.500,similar spp: Cook et al. 2012; NOFU: Krijgsveld et al. 2011,0.00044,0.026,6.330,0.125
7038,Shearwaters,Pink-footed Shearwater,PFSH,Ardenna creatopus,0.320,0.320,NA,3,0.500,0.620,0.420,0.640,3,0.500,0.470,NA,0.180,0.780,0.470,4,0.333,0.220,0.250,0.268,0.500,"Adams et al. 2016, Carle et al. 2019, Drew et al. 2005, Takekawa et al. 2017",0.000,0.000,0.052,5,0.167,0.052,0.500,0.240,1,0.50,"similar spp: WTSH: Adams et al. 2020, MASH: Bradbury et al. 2014, Cook et al. 2012, Johnston et al. 2014; SCSH: Courbin et al. 2023",0.390,0.280,0.500,2,0.667,0.220,0.500,0.462,1,0.500,similar spp: Cook et al. 2012; NOFU: Krijgsveld et al. 2011,0.00006,0.030,5.000,0.125
7039,Shearwaters,Flesh-footed Shearwater,FFSH,Ardenna carneipes,0.320,0.320,NA,3,0.500,0.720,0.720,NA,3,0.500,0.520,0.330,0.330,NA,0.330,5,0.167,0.000,0.500,0.222,0.500,"Adams et al. 2016, Bonnet-Lebrun et al. 2021, Drew et al. 2005, Takekawa et al. 2017; similar spp: PFSH: Carle et al. 2019",0.000,0.000,0.052,5,0.167,0.052,0.500,0.240,1,0.50,"similar spp: WTSH: Adams et al. 2020, MASH: Bradbury et al. 2014, Cook et al. 2012, Johnston et al. 2014; SCSH: Courbin et al. 2023",0.390,0.280,0.500,2,0.667,0.220,0.500,0.462,1,0.500,similar spp: Cook et al. 2012; NOFU: Krijgsveld et al. 2011,0.00004,0.025,5.330,0.125
7045,Shearwaters,Bullers Shearwater,BULS,Ardenna bulleri,0.300,0.280,0.320,3,0.500,0.660,0.500,0.820,3,0.500,0.480,0.220,0.180,0.330,0.350,7,0.000,0.320,0.500,0.273,0.500,"Adams et al. 2016, Drew et al. 2005,  Takekawa et al. 2017; similar spp: Bonnet-Lebrun et al. 2021, MASH: Dean et al. 2013, WTSH: Adams et al. 2020, PFSH: Carle et al. 2019",0.000,0.000,0.052,5,0.167,0.052,0.500,0.240,1,0.50,"similar spp: WTSH: Adams et al. 2020, MASH: Bradbury et al. 2014, Cook et al. 2012, Johnston et al. 2014; SCSH: Courbin et al. 2023",0.390,0.280,0.500,2,0.667,0.220,0.500,0.462,1,0.500,similar spp: Cook et al. 2012; NOFU: Krijgsveld et al. 2011,0.00004,0.030,5.000,0.125
7046,Shearwaters,Sooty Shearwater,SOSH,Ardenna grisea,0.105,0.110,NA,3,0.250,0.210,0.170,0.250,3,0.250,0.158,0.240,0.240,NA,0.199,8,0.000,0.080,0.500,0.193,0.250,"Adams et al. 2016, Bonnet-Lebrun et al. 2021, Drew et al. 2005, Takekawa et al. 2017; similar spp: MASH: Dean et al. 2013, WTSH: Adams et al. 2020, Ravache et al. 2020, PFSH: Carle et al. 2019",0.000,0.000,0.052,5,0.167,0.052,0.500,0.240,1,0.50,"similar spp: WTSH: Adams et al. 2020, MASH: Bradbury et al. 2014, Cook et al. 2012, Johnston et al. 2014; SCSH: Courbin et al. 2023",0.390,0.280,0.500,2,0.667,0.220,0.500,0.462,1,0.500,similar spp: Cook et al. 2012; NOFU: Krijgsveld et al. 2011,0.00002,0.021,5.000,0.063
7047,Shearwaters,Short-tailed Shearwater,STTS,Ardenna tenuirostris,0.200,0.200,NA,3,0.500,0.400,0.400,NA,3,0.500,0.300,0.200,0.200,NA,0.250,5,0.167,0.000,0.500,0.222,0.500,"Bonnet-Lebrun et al. 2021, Drew et al. 2005; similar spp: MASH: Dean et al. 2013, WTSH: Adams et al. 2020, PFSH: Carle et al. 2019",0.000,0.000,0.052,5,0.167,0.052,0.500,0.240,1,0.50,"similar spp: WTSH: Adams et al. 2020, MASH: Bradbury et al. 2014, Cook et al. 2012, Johnston et al. 2014; SCSH: Courbin et al. 2023",0.390,0.280,0.500,2,0.667,0.220,0.500,0.462,1,0.500,similar spp: Cook et al. 2012; NOFU: Krijgsveld et al. 2011,0.00003,0.025,5.000,0.125
7053,Shearwaters,Manx Shearwater,MASH,Puffinus puffinus,0.300,0.300,NA,3,0.250,0.720,0.720,NA,3,0.250,0.510,0.180,0.180,NA,0.345,2,0.667,0.000,0.250,0.306,0.250,"Bonnet-Lebrun et al. 2021, Dean et al. 2013",0.002,0.000,0.000,4,0.333,0.000,0.250,0.195,1,0.50,"Bradbury et al. 2014, Cook et al. 2012, Johnston et al. 2014, Johnston and Cook 2016",0.390,0.280,0.500,2,0.667,0.220,0.500,0.462,1,0.250,similar spp: Cook et al. 2012; NOFU: Krijgsveld et al. 2011,0.00042,0.027,5.000,0.031
7067,Shearwaters,Black-vented Shearwater,BVSH,Puffinus opisthomelas,0.300,0.280,0.320,3,0.500,0.653,0.360,0.945,3,0.500,0.476,0.220,0.180,0.330,0.348,7,0.000,0.585,0.500,0.362,0.500,"Adams et al. 2016, Drew et al. 2005, Takekawa et al. 2017; similar spp: Bonnet-Lebrun et al. 2021, MASH: Dean et al. 2013; WTSH: Adams et al. 2020; PFSH: Carle et al. 2019",0.000,0.000,0.052,5,0.167,0.052,0.500,0.240,1,0.50,"similar spp: WTSH: Adams et al. 2020, MASH: Bradbury et al. 2014, Cook et al. 2012, Johnston et al. 2014; SCSH: Courbin et al. 2023",0.390,0.280,0.500,2,0.667,0.220,0.500,0.462,1,0.500,similar spp: Cook et al. 2012; NOFU: Krijgsveld et al. 2011,0.00004,0.040,5.000,0.125
6853,Storm-Petrels,Wilsons Storm-Petrel,WISP,Oceanites oceanicus,0.727,0.520,0.820,4,0.250,0.550,0.313,0.980,3,0.250,0.639,0.610,0.500,0.710,0.624,7,0.000,0.667,0.500,0.389,0.250,"similar spp: Adams et al. 2016, Drew et al. 2005, Takekawa et al. 2017; LESP: Bonnet-Lebrun et al. 2021, CFSP: Medrano et al. 2022, Medrano et al. 2024; EUSP: Militao et al. 2022",0.016,0.000,0.013,1,0.833,0.013,0.250,0.365,1,0.50,Bradbury et al. 2014,0.390,0.280,0.500,2,0.667,0.220,0.500,0.462,1,0.500,similar spp: Cook et al. 2012; NOFU: Krijgsveld et al. 2011,0.00619,0.066,5.670,0.063
6888,Storm-Petrels,Fork-tailed Storm-Petrel,FTSP,Hydrobates furcatus,0.727,0.520,0.820,4,0.500,0.550,0.313,0.980,3,0.500,0.639,0.610,0.500,0.710,0.620,7,0.000,0.667,0.500,0.389,0.500,"similar spp: Adams et al. 2016, Drew et al. 2005, Takekawa et al. 2017; LESP: Bonnet-Lebrun et al. 2021, CVSP: Medrano et al. 2022, Medrano et al. 2024; EUSP: Militao et al. 2022",0.016,0.013,0.020,2,0.667,0.008,0.500,0.391,1,0.10,similar spp: EUSP: Deakin et al. 2022; LESP/EUSP: Bradbury et al. 2014,0.390,0.280,0.500,2,0.667,0.220,0.500,0.462,1,0.500,similar spp: Cook et al. 2012; NOFU: Krijgsveld et al. 2011,0.00615,0.070,5.670,0.025
6892,Storm-Petrels,Leachs Storm-Petrel,LESP,Hydrobates leucorhous,0.727,0.520,0.820,4,0.250,0.550,0.313,0.970,3,0.250,NA,0.620,0.500,0.710,0.620,1,0.833,0.210,0.250,0.431,0.250,Bonnet-Lebrun et al. 2021,0.020,NA,0.020,1,0.833,0.020,0.250,0.368,1,0.10,Bradbury et al. 2014,0.390,0.280,0.500,2,0.667,0.220,0.500,0.462,1,0.500,similar spp: Cook et al. 2012; NOFU: Krijgsveld et al. 2011,0.00756,0.073,5.670,0.013
6902,Storm-Petrels,Ashy Storm-Petrel,ASSP,Hydrobates homochroa,0.727,0.520,0.820,4,0.500,0.550,0.313,0.980,3,0.500,0.639,0.610,0.500,0.710,0.624,7,0.000,0.667,0.500,0.389,0.500,"Adams et al. 2016,  Drew et al. 2005, Takekawa et al. 2017; similar spp: Medrano et al. 2024; LESP: Bonnet-Lebrun et al. 2021, CFSP: Medrano et al. 2022, EUSP: Militao et al. 2022",0.016,0.013,0.020,2,0.667,0.008,0.500,0.391,1,0.10,similar spp: EUSP: Deakin et al. 2022; LESP/EUSP: Bradbury et al. 2014,0.390,0.280,0.500,2,0.667,0.220,0.500,0.462,1,0.500,similar spp: Cook et al. 2012; NOFU: Krijgsveld et al. 2011,0.00619,0.070,5.670,0.025
6913,Storm-Petrels,Black Storm-Petrel,BLSP,Hydrobates melania,0.727,0.520,0.820,4,0.500,0.440,0.313,0.980,3,0.500,0.583,0.610,0.500,0.710,0.597,5,0.167,0.667,0.500,0.445,0.500,"Drew et al. 2005, similar spp: Medrano et al. 2024; LESP: Bonnet-Lebrun et al. 2021, CFSP: Medrano et al. 2022, EUSP: Militao et al. 2022",0.016,0.013,0.020,2,0.667,0.008,0.500,0.391,1,0.10,similar spp: EUSP: Deakin et al. 2022; LESP/EUSP: Bradbury et al. 2014,0.390,0.280,0.500,2,0.667,0.220,0.500,0.462,1,0.500,similar spp: Cook et al. 2012; NOFU: Krijgsveld et al. 2011,0.00591,0.080,5.670,0.025
6919,Storm-Petrels,Least Storm-Petrel,LSTP,Hydrobates microsoma,0.727,0.520,0.820,4,0.250,0.440,0.313,0.980,3,0.250,0.583,0.610,0.500,0.710,0.597,5,0.167,0.667,0.500,0.445,0.250,"Drew et al. 2005; similar spp: Medrano et al. 2024; LESP: Bonnet-Lebrun et al. 2021, CFSP: Medrano et al. 2022, EUSP: Militao et al. 2022",0.016,0.013,0.020,2,0.667,0.008,0.500,0.391,1,0.10,similar spp: EUSP: Deakin et al. 2022; LESP/EUSP: Bradbury et al. 2014,0.390,0.280,0.500,2,0.667,0.220,0.500,0.462,1,0.500,similar spp: Cook et al. 2012; NOFU: Krijgsveld et al. 2011,0.00591,0.080,5.670,0.013
7216,Cormorants,Brandts Cormorant,BRAC,Urile penicillatus,0.001,NA,NA,1,0.500,0.040,0.020,0.140,3,0.500,0.021,0.016,0.011,0.021,0.018,7,0.000,0.120,0.500,0.207,0.500,"Adams et al. 2016, Drew et al. 2005, Takekawa et al. 2017, Wallace and Wallace 2021; similar spp: Ryan et al. 2009; DCCO: King et al. 1995; GRCO: Gremillet and Wilson 1999",0.080,0.045,0.124,5,0.167,0.079,0.500,0.249,3,0.25,"similar spp: Thaxter et al. 2015, EUSH: Bradbury et al. 2014, Cook et al. 2012, Furness et al. 2013, Johnston et al. 2014",0.205,0.180,0.230,2,0.667,0.050,0.500,0.406,3,0.500,"similar spp: cormorants: Cook et al. 2012, Krijgsveld et al. 2011",0.00116,0.021,7.670,0.063
7253,Cormorants,Double-crested Cormorant,DCCO,Nannopterum auritum,0.001,NA,NA,1,0.100,0.070,0.070,NA,5,0.100,0.036,0.016,0.011,0.021,0.026,5,0.167,0.010,0.250,0.142,0.100,"Adams et al. 2016, Drew et al. 2005, Dorr et al. 2021, King et al. 1995, Takekawa et al. 2017",0.080,0.045,0.124,5,0.167,0.079,0.500,0.249,3,0.25,"similar spp: Thaxter et al. 2015, EUSH: Bradbury et al. 2014, Cook et al. 2012, Furness et al. 2013, Johnston et al. 2014",0.205,0.180,0.230,2,0.667,0.050,0.500,0.406,3,0.500,"similar spp: cormorants: Cook et al. 2012, Krijgsveld et al. 2011",0.00164,0.014,8.330,0.013
7218,Cormorants,Pelagic Cormorant,PECO,Urile pelagicus,0.001,NA,NA,1,0.500,0.040,0.020,0.140,3,0.500,0.021,0.016,0.011,0.021,0.018,6,0.000,0.120,0.500,0.207,0.500,"Adams et al. 2016, Drew et al. 2005, Takekawa et al. 2017; similar spp: Ryan et al. 2009; GRCO: Gremillet and Wilson 1999; DCCO: King et al. 1995",0.080,0.045,0.124,5,0.167,0.079,0.500,0.249,3,0.25,"similar spp: Thaxter et al. 2015, EUSH: Bradbury et al. 2014, Cook et al. 2012, Furness et al. 2013, Johnston et al. 2014",0.205,0.180,0.230,2,0.667,0.050,0.500,0.406,3,0.500,"similar spp: cormorants: Cook et al. 2012, Krijgsveld et al. 2011",0.00116,0.021,7.670,0.063
7288,Pelicans,American White Pelican,AWPE,Pelecanus erythrorhynchos,0.001,NA,NA,1,0.500,0.555,0.500,0.610,3,0.500,0.278,0.260,0.200,0.320,0.269,6,0.000,0.110,0.500,0.203,0.500,"Knopf and Evans 2020; similar spp: BRPE: Adams et al. 2016, Croll et al. 1986, Drew et al. 2005, D. Jaques pers. comm. 2024, Takekawa et al. 2017",0.305,0.210,0.400,1,0.833,0.190,0.750,0.591,5,0.50,Robinson Willmott et al. 2013,0.865,0.640,0.970,10,0.000,0.330,0.750,0.360,5,NA,"similar spp: NOGA: Cook et al. 2012, Cook et al. 2014, Gauld et al. 2022, Krijgsveld et al. 2011, Peschko et al. 2021, Rehfisch et al. 2014, Skov et al. 2018, Vanermen et al. 2016, Vanermen et al. 2017, Vanermen et al. 2022",0.01108,0.043,11.670,0.000
7289,Pelicans,Brown Pelican,BRPE,Pelecanus occidentalis,0.001,NA,NA,1,0.250,0.555,0.500,0.610,3,0.250,0.278,0.260,0.200,0.320,0.269,5,0.167,0.110,0.250,0.176,0.250,"Adams et al. 2016, Croll et al. 1986, Drew et al. 2005, D. Jaques pers. comm. 2024, Takekawa et al. 2017",0.305,0.210,0.400,1,0.833,0.190,0.750,0.591,5,0.50,Robinson Willmott et al. 2013,0.865,0.640,0.970,10,0.000,0.330,0.750,0.360,5,NA,"similar spp: NOGA: Cook et al. 2012, Cook et al. 2014, Gauld et al. 2022, Krijgsveld et al. 2011, Peschko et al. 2021, Rehfisch et al. 2014, Skov et al. 2018, Vanermen et al. 2016, Vanermen et al. 2017, Vanermen et al. 2022",0.01108,0.037,11.670,0.000
6086,Phalaropes,Red-necked Phalarope,RNPH,Phalaropus lobatus,0.193,NA,NA,2,0.500,0.385,0.250,0.520,3,0.500,0.289,0.710,0.650,0.770,0.499,5,0.167,0.270,0.250,0.229,0.500,"Adams et al. 2016, R. Carle pers. comm., Drew et al. 2005, Takekawa et al. 2017,  van Bemmelen et al. 2016",0.420,0.090,0.750,1,0.833,0.660,0.250,0.581,1,0.50,Robinson Willmott et al. 2013,0.270,0.270,NA,1,0.833,0.000,0.750,0.528,3,0.500,similar spp: shorebirds: Krijgsveld et al. 2011,0.15311,0.070,6.330,0.125
6085,Phalaropes,Red Phalarope,REPH,Phalaropus fulicarius,0.218,NA,NA,3,0.500,0.435,0.390,0.480,3,0.500,0.326,0.710,0.650,0.770,0.518,5,0.167,0.120,0.500,0.262,0.500,"Adams et al. 2016, R. Carle pers. comm., Drew et al. 2005, Takekawa et al. 2017; similar spp: RNPH: van Bemmelen et al. 2016",0.420,0.090,0.750,1,0.833,0.660,0.500,0.664,1,0.50,Robinson Willmott et al. 2013,0.270,0.270,NA,1,0.833,0.000,0.750,0.528,3,0.500,similar spp: shorebirds: Krijgsveld et al. 2011,0.15886,0.092,7.000,0.125
6332,Jaegers and Skuas,South Polar Skua,SPSK,Stercorarius maccormicki,0.050,NA,NA,1,0.500,0.780,0.720,0.840,4,0.500,0.415,0.280,0.220,0.340,0.348,5,0.167,0.120,0.500,0.262,0.500,"Bonnet-Lebrun et al. 2021, Drew et al. 2005; similar spp: Adams et al. 2016, Takekawa et al. 2017; GRSK: Potiek et al. 2019",0.042,0.039,0.100,4,0.333,0.061,0.500,0.298,5,0.50,"similar spp: Bradbury et al. 2014, Cook et al. 2012, Johnston et al. 2014, Thaxter et al. 2015",0.140,0.000,0.280,2,0.667,0.280,0.500,0.482,5,0.500,"similar spp: skuas: Cook et al. 2012, Krijgsveld et al. 2011",0.01240,0.038,12.000,0.125
6323,Jaegers and Skuas,Pomarine Jaeger,POJA,Stercorarius pomarinus,0.050,NA,NA,1,0.250,0.790,0.760,0.820,3,0.500,0.420,0.355,0.220,0.470,0.388,5,0.167,0.250,0.500,0.306,0.375,"Adams et al. 2016, Drew et al. 2005, Takekawa et al. 2017; similar spp: SPSK/LTJA: Bonnet-Lebrun et al. 2021; GRSK: Potiek et al. 2019",0.042,0.039,0.100,4,0.333,0.061,0.500,0.298,5,0.50,"similar spp: Bradbury et al. 2014, Cook et al. 2012, Johnston et al. 2014, Thaxter et al. 2015",0.140,0.000,0.280,2,0.667,0.280,0.500,0.482,5,0.500,"similar spp: skuas: Cook et al. 2012, Krijgsveld et al. 2011",0.01383,0.044,11.670,0.094
