TaxNumCl_2023,Taxonomy,Common_Name,AlphaCode,Scientific_Name,NFA_new,NFA_min,NFA_max,NFA_Score,NFA_Uncertainty_pct,DFA_new,DFA_min,DFA_max,DFA_Score,DFA_Uncertainty_pct,FA_N&D,FA24,FA24_min,FA24_max,FA,FA_litSourceNo,FA_litSourceNo_rescaled,FA_valueRangeDif,FA_actVSsimSpp,uFA,uFA_old,FA_Reference,RSZt_new,RSZt_min,RSZt_max,RSZt_litSourceNo,RSZt_litSourceNo_rescaled,RSZt_valueRangeDif,RSZt_actVSsimSpp,uRSZt,RSZt_Score,RSZt_Uncertainty_pct,RSZt_Reference,MA_new,MA_min,MA_max,MA_litSourceNo,MA_litSourceNo_rescaled,MA_valueRangeDif,MA_actVSsimSpp,uMA,MA_Collision_Score,MA_Uncertainty_pct,MA_Reference,CV_new,uCV,CV_Best_Estimate_old,uCV_old
6768,Loons,Red-throated Loon,RTLO,Gavia stellata,0.001,0,NA,1,0.25,0.36,0.36,NA,2,0.25,0.181,NA,NA,NA,0.181,5,0.167,0,0.5,0.222,0.25,"Adams et al. 2016, Drew et al. 2005, Heinanen et al. 2020, Takekawa et al. 2017; similar spp: COLO: Paruk et al. 2008",0.061,0.05,0.13,5,0.167,0.08,0.25,0.166,3,0.5,"Bradbury et al. 2014, Borkenhagen et al. 2018, Furness et al. 2013, Johnston et al. 2014, Thaxter et al. 2015",0.81,0.81,NA,1,0.833,0,0.25,0.361,1,0.1,Vanermen et al. 2022,0.00208,0.013,5.33,0.013
6775,Loons,Yellow-billed Loon,YBLO,Gavia adamsii,0.001,0,NA,1,0.5,0.35,0.35,NA,2,0.5,0.176,NA,NA,NA,0.176,5,0.167,0,0.5,0.222,0.5,"Adams et al. 2016, Drew et al. 2005, Takekawa et al. 2017; similar spp: COLO: Paruk et al. 2008; RTLO: Heinanen et al. 2020",0.061,0.05,0.13,5,0.167,0.08,0.5,0.249,3,0.5,"similar spp: RTLO: Bradbury et al. 2014, Cook et al. 2012, Furness et al. 2013, Johnston et al. 2014, Thaxter et al. 2015",0.81,0.6,0.94,5,0.167,0.34,0.5,0.336,1,0.1,"similar spp: divers: Cook et al. 2012, Garthe et al. 2023, Krijgsveld et al. 2011, Welcker and Nehls 2016; RTLO: Vanermen et al. 2022",0.00203,0.019,3.33,0.025
1852,Grebes,Eared Grebe,EAGR,Podiceps nigricollis,0.15,0.15,NA,3,0.5,0.035,0,0.07,1,0.5,0.093,NA,NA,NA,0.093,5,0.167,0.07,0.25,0.162,0.5,"Adams et al. 2016, Cullen et al. 2020, Drew et al. 2005, Felis pers. comm., Takekawa et al. 2017",0.03,0.02,0.04,2,0.667,0.02,0.5,0.396,3,0.5,"similar spp: Bradbury et al. 2014, Furness et al. 2013",0.39,0.28,0.5,2,0.667,0.22,0.5,0.462,1,0.5,"similar spp: grebes: Cook et al. 2012, Krijgsveld et al. 2011",0.00169,0.03,6.33,0.125
7253,Cormorants,Double-crested Cormorant,DCCO,Nannopterum auritum,0.001,NA,NA,1,0.1,0.07,0.07,NA,5,0.1,0.036,0.016,0.011,0.021,0.026,5,0.167,0.01,0.25,0.142,0.1,"Adams et al. 2016, Drew et al. 2005, Dorr et al. 2021, King et al. 1995, Takekawa et al. 2017",0.08,0.045,0.124,5,0.167,0.079,0.5,0.249,3,0.25,"similar spp: Thaxter et al. 2015, EUSH: Bradbury et al. 2014, Cook et al. 2012, Furness et al. 2013, Johnston et al. 2014",0.205,0.18,0.23,2,0.667,0.05,0.5,0.406,3,0.5,"similar spp: cormorants: Cook et al. 2012, Krijgsveld et al. 2011",0.00164,0.014,8.33,0.013
1842,Grebes,Horned Grebe,HOGR,Podiceps auritus,0.15,0.15,NA,3,0.5,0.025,0,0.05,2,0.5,0.088,NA,NA,NA,0.088,5,0.167,0.05,0.25,0.156,0.5,"Adams et al. 2016, Drew et al. 2005, Felis pers. comm., Stedman 2020, Takekawa et al. 2017",0.03,0.02,0.04,2,0.667,0.02,0.5,0.396,3,0.5,"similar spp: Bradbury et al. 2014, Furness et al. 2013",0.39,0.28,0.5,2,0.667,0.22,0.5,0.462,1,0.5,"similar spp: grebes: Cook et al. 2012, Krijgsveld et al. 2011",0.0016,0.028,6.67,0.125
1845,Grebes,Red-necked Grebe,RNGR,Podiceps grisegena,0.15,0.15,NA,3,0.5,0.02,0,0.04,1,0.5,0.085,NA,NA,NA,0.085,5,0.167,0.04,0.25,0.152,0.5,"Adams et al. 2016, Drew et al. 2005, Felis pers. comm., Takekawa et al. 2017, Stout and Nuechterlein 2020",0.03,0.02,0.04,2,0.667,0.02,0.5,0.396,3,0.5,"similar spp: Bradbury et al. 2014, Furness et al. 2013",0.39,0.28,0.5,2,0.667,0.22,0.5,0.462,1,0.5,"similar spp: grebes: Cook et al. 2012, Krijgsveld et al. 2011",0.00156,0.028,6.33,0.125
6351,Alcids,Parakeet Auklet,PAAU,Aethia psittacula,0.027,0.001,0.054,1,0.5,0.43,0.43,NA,1,0.5,0.229,NA,0.033,0.038,0.229,4,0.333,0,0.5,0.278,0.5,Drew et al. 2005; similar spp: COMU: Dunn et al. 2020; LIAU: Jakubas et al. 2014; RAZO: Benvenuti et al. 2001,0.02,0.003,0.03,4,0.333,0.027,0.5,0.287,1,0.5,"similar spp: LIAU: Bradbury et al. 2014, Cook et al. 2012, Johnston et al. 2014; COMU: Furness et al. 2013",0.68,0.45,0.72,7,0,0.27,0.5,0.257,1,0.25,"similar spp: alcids: Cook et al. 2012, Krijgsveld et al. 2011; COMU: Peschko et al. 2020a, Peschko et al. 2020b, Vanermen et al. 2016, Vanermen et al. 2017, Vanermen et al. 2022",0.00146,0.02,3,0.063
1864,Grebes,Western Grebe,WEGR,Aechmophorus occidentalis,0.15,0.15,NA,3,0.5,0.005,0,0.01,1,0.5,0.078,NA,NA,NA,0.078,5,0.167,0.01,0.25,0.142,0.5,"Adams et al. 2016, Drew et al. 2005, Felis pers. comm., LaPorte et al. 2020b, Takekawa et al. 2017",0.03,0.02,0.04,2,0.667,0.02,0.5,0.396,3,0.5,"similar spp: Bradbury et al. 2014, Furness et al. 2013",0.39,0.28,0.5,2,0.667,0.22,0.5,0.462,1,0.5,"similar spp: grebes: Cook et al. 2012, Krijgsveld et al. 2011",0.00142,0.026,6.33,0.125
1867,Grebes,Clarks Grebe,CLGR,Aechmophorus clarkii,0.15,0.15,NA,3,0.5,0,0,NA,1,0.5,0.075,NA,NA,NA,0.075,5,0.167,0,0.25,0.139,0.5,"Adams et al. 2016, Drew et al. 2005, Felis pers. comm., LaPorte et al. 2020a, Takekawa et al. 2017",0.03,0.02,0.04,2,0.667,0.02,0.5,0.396,3,0.5,"similar spp: Bradbury et al. 2014, Furness et al. 2013",0.39,0.28,0.5,2,0.667,0.22,0.5,0.462,1,0.5,"similar spp: grebes: Cook et al. 2012, Krijgsveld et al. 2011",0.00137,0.025,6.33,0.125
7216,Cormorants,Brandts Cormorant,BRAC,Urile penicillatus,0.001,NA,NA,1,0.5,0.04,0.02,0.14,3,0.5,0.021,0.016,0.011,0.021,0.018,7,0,0.12,0.5,0.207,0.5,"Adams et al. 2016, Drew et al. 2005, Takekawa et al. 2017, Wallace and Wallace 2021; similar spp: Ryan et al. 2009; DCCO: King et al. 1995; GRCO: Gremillet and Wilson 1999",0.08,0.045,0.124,5,0.167,0.079,0.5,0.249,3,0.25,"similar spp: Thaxter et al. 2015, EUSH: Bradbury et al. 2014, Cook et al. 2012, Furness et al. 2013, Johnston et al. 2014",0.205,0.18,0.23,2,0.667,0.05,0.5,0.406,3,0.5,"similar spp: cormorants: Cook et al. 2012, Krijgsveld et al. 2011",0.00116,0.021,7.67,0.063
7218,Cormorants,Pelagic Cormorant,PECO,Urile pelagicus,0.001,NA,NA,1,0.5,0.04,0.02,0.14,3,0.5,0.021,0.016,0.011,0.021,0.018,6,0,0.12,0.5,0.207,0.5,"Adams et al. 2016, Drew et al. 2005, Takekawa et al. 2017; similar spp: Ryan et al. 2009; GRCO: Gremillet and Wilson 1999; DCCO: King et al. 1995",0.08,0.045,0.124,5,0.167,0.079,0.5,0.249,3,0.25,"similar spp: Thaxter et al. 2015, EUSH: Bradbury et al. 2014, Cook et al. 2012, Furness et al. 2013, Johnston et al. 2014",0.205,0.18,0.23,2,0.667,0.05,0.5,0.406,3,0.5,"similar spp: cormorants: Cook et al. 2012, Krijgsveld et al. 2011",0.00116,0.021,7.67,0.063
6393,Alcids,Ancient Murrelet,ANMU,Synthliboramphus antiquus,0.027,0.001,0.054,2,0.5,0.315,0.38,0.25,1,0.5,0.171,NA,0.033,0.038,0.171,6,0,0.13,0.5,0.21,0.5,"Adams et al. 2016, Drew et al. 2005, Takekawa et al. 2017; similar spp: COMU: Dunn et al. 2020; LIAU: Jakubas et al. 2014; RAZO: Benvenuti et al. 2001",0.02,0.003,0.03,4,0.333,0.027,0.5,0.287,1,0.5,"similar spp: LIAU: Bradbury et al. 2014, Cook et al. 2012, Johnston et al. 2014; COMU: Furness et al. 2013",0.68,0.45,0.72,7,0,0.27,0.5,0.257,1,0.25,"similar spp: alcids: Cook et al. 2012, Krijgsveld et al. 2011; COMU: Peschko et al. 2020a, Peschko et al. 2020b, Vanermen et al. 2016, Vanermen et al. 2017, Vanermen et al. 2022",0.0011,0.015,3.67,0.063
6345,Alcids,Cassins Auklet,CAAU,Ptychoramphus aleuticus,0.027,0.001,0.054,2,0.5,0.23,0.17,0.29,1,0.5,0.129,NA,0.033,0.038,0.129,7,0,0.12,0.5,0.207,0.5,"Adams et al. 2016, Ainley et al. 2020, Drew et al. 2005, Takekawa et al. 2017; similar spp: COMU: Dunn et al. 2020; LIAU: Jakubas et al. 2014; RAZO: Benvenuti et al. 2001",0.02,0.003,0.03,4,0.333,0.027,0.5,0.287,1,0.5,"similar spp: LIAU: Bradbury et al. 2014, Cook et al. 2012, Johnston et al. 2014; COMU: Furness et al. 2013",0.68,0.45,0.72,7,0,0.27,0.5,0.257,1,0.25,"similar spp: alcids: Cook et al. 2012, Krijgsveld et al. 2011; COMU: Peschko et al. 2020a, Peschko et al. 2020b, Vanermen et al. 2016, Vanermen et al. 2017, Vanermen et al. 2022",0.00082,0.015,3.67,0.063
6976,Petrels and Fulmars,Hawaiian Petrel,HAPE,Pterodroma sandwichensis,0.603,0.485,0.72,3,0.5,0.617,0.47,0.765,5,0.5,0.61,NA,NA,NA,0.61,3,0.5,0.295,0.5,0.432,0.5,"similar spp: Drew et al. 2005; MUPE: Clay et al. 2017, BEPE: Raine et al. 2021",0.002,0.001,0.01,5,0.167,0.009,0.5,0.225,1,0.5,"similar spp: NOFU: Bradbury et al. 2014, Cook et al. 2012, Deakin et al. 2022, Furness et al. 2013, Johnston et al. 2014",0.39,0.28,0.5,2,0.667,0.22,0.5,0.462,1,0.5,similar spp: Cook et al. 2012; NOFU: Krijgsveld et al. 2011,0.00074,0.045,5.67,0.125
6400,Alcids,Craveris Murrelet,CRMU,Synthliboramphus craveri,0.027,0.001,0.054,2,0.5,0.19,0.18,0.2,1,0.5,0.109,NA,0.033,0.038,0.109,6,0,0.02,0.5,0.173,0.5,"Adams et al. 2016, Drew et al. 2005, Takekawa et al. 2017; similar spp: COMU: Dunn et al. 2020; LIAU: Jakubas et al. 2014; RAZO: Benvenuti et al. 2001",0.02,0.003,0.03,4,0.333,0.027,0.5,0.287,1,0.5,"similar spp: LIAU: Bradbury et al. 2014, Cook et al. 2012, Johnston et al. 2014; COMU: Furness et al. 2013",0.68,0.45,0.72,7,0,0.27,0.5,0.257,1,0.25,"similar spp: alcids: Cook et al. 2012, Krijgsveld et al. 2011; COMU: Peschko et al. 2020a, Peschko et al. 2020b, Vanermen et al. 2016, Vanermen et al. 2017, Vanermen et al. 2022",0.0007,0.013,3.67,0.063
6774,Loons,Common Loon,COLO,Gavia immer,0.001,0,NA,1,0.5,0.115,0.07,0.16,2,0.5,0.058,NA,NA,NA,0.058,5,0.167,0.09,0.5,0.252,0.5,"Adams et al. 2016, Drew et al. 2005, Paruk et al. 2008, Takekawa et al. 2017; similar spp: RTLO: Heinanen et al. 2020",0.061,0.05,0.13,5,0.167,0.08,0.5,0.249,3,0.5,"similar spp: RTLO: Bradbury et al. 2014, Cook et al. 2012, Furness et al. 2013, Johnston et al. 2014, Thaxter et al. 2015",0.81,0.6,0.94,5,0.167,0.34,0.5,0.336,1,0.1,"similar spp: divers: Cook et al. 2012, Garthe et al. 2023, Krijgsveld et al. 2011, Welcker and Nehls 2016; RTLO: Vanermen et al. 2022",0.00067,0.021,3.33,0.025
7038,Shearwaters,Pink-footed Shearwater,PFSH,Ardenna creatopus,0.32,0.32,NA,3,0.5,0.62,0.42,0.64,3,0.5,0.47,NA,0.18,0.78,0.47,4,0.333,0.22,0.25,0.268,0.5,"Adams et al. 2016, Carle et al. 2019, Drew et al. 2005, Takekawa et al. 2017",0.002,0,0.052,5,0.167,0.052,0.5,0.24,1,0.5,"similar spp: WTSH: Adams et al. 2020, MASH: Bradbury et al. 2014, Cook et al. 2012, Johnston et al. 2014; SCSH: Courbin et al. 2023",0.39,0.28,0.5,2,0.667,0.22,0.5,0.462,1,0.5,similar spp: Cook et al. 2012; NOFU: Krijgsveld et al. 2011,0.0006,0.03,5,0.125
6932,Petrels and Fulmars,Northern Fulmar,NOFU,Fulmarus glacialis rodgersii,0.28,0.28,NA,4,0.25,0.54,0.54,NA,2,0.25,0.41,NA,NA,NA,0.41,2,0.667,0,0.5,0.389,0.25,"Drew et al. 2005, similar spp: PFSH: Carle et al. 2019",0.002,0.001,0.01,5,0.167,0.009,0.25,0.142,1,0.1,"Bradbury et al. 2014, Cook et al. 2012, Deakin et al. 2022, Furness et al. 2013, Johnston et al. 2014",0.28,0.28,NA,1,0.833,0,0.25,0.361,1,0.25,Krijgsveld et al. 2011,0.00059,0.02,5.33,0.006
6398,Alcids,Guadalupe Murrelet,GUMU,Synthliboramphus hypoleucus,0.027,0,0.054,2,NA,0.155,0.13,0.18,1,NA,0.091,NA,0.033,0.038,0.091,6,0,0.05,0.5,0.183,0,"Adams et al. 2016, Drew et al. 2005, Takekawa et al. 2017; similar spp: COMU: Dunn et al. 2020; LIAU: Jakubas et al. 2014; RAZO: Benvenuti et al. 2001",0.02,0.003,0.03,4,0.333,0.027,0.5,0.287,1,0.5,"similar spp: LIAU: Bradbury et al. 2014, Cook et al. 2012, Johnston et al. 2014; COMU: Furness et al. 2013",0.68,0.18,0.72,7,0,0.54,0.5,0.347,1,0.25,"similar spp: alcids: Cook et al. 2012, Krijgsveld et al. 2011; COMU: Vanermen et al. 2016, Vanermen et al. 2017, Peschko et al. 2020a, Peschko et al. 2020b, Vanermen et al. 2022",0.00058,0.018,NA,0
6398,Alcids,Scrippss Murrelet,SCMU,Synthliboramphus hypoleucus,0.027,0.001,0.054,2,0.5,0.145,0.11,0.18,1,0.5,0.086,NA,0.033,0.038,0.086,6,0,0.07,0.5,0.19,NA,"Adams et al. 2016, Drew et al. 2005, Takekawa et al. 2017; similar spp: COMU: Dunn et al. 2020; LIAU: Jakubas et al. 2014; RAZO: Benvenuti et al. 2001",0.02,0.003,0.03,4,0.333,0.027,0.5,0.287,1,0.5,"similar spp: LIAU: Bradbury et al. 2014, Cook et al. 2012, Johnston et al. 2014; COMU: Furness et al. 2013",0.68,0.45,0.72,7,0,0.27,0.5,0.257,1,0.25,"similar spp: alcids: Cook et al. 2012, Krijgsveld et al. 2011; COMU: Peschko et al. 2020a, Peschko et al. 2020b, Vanermen et al. 2016, Vanermen et al. 2017, Vanermen et al. 2022",0.00055,0.014,3.67,0
6953,Petrels and Fulmars,Murphys Petrel,MUPE,Pterodroma ultima,NA,NA,NA,5,0.5,NA,NA,NA,5,0.5,NA,0.4,0.4,NA,0.4,1,0.833,0,0.25,0.361,0.5,Bonnet-Lebrun et al. 2021,0.002,0.001,0.01,5,0.167,0.009,0.5,0.225,1,0.5,"similar spp: NOFU: Bradbury et al. 2014, Cook et al. 2012, Deakin et al. 2022, Furness et al. 2013, Johnston et al. 2014",0.39,0.28,0.5,2,0.667,0.22,0.5,0.462,1,0.5,similar spp: Cook et al. 2012; NOFU: Krijgsveld et al. 2011,0.00049,0.038,7,0.125
7045,Shearwaters,Bullers Shearwater,BULS,Ardenna bulleri,0.3,0.28,0.32,3,0.5,0.66,0.5,0.82,3,0.5,0.48,0.22,0.18,0.33,0.35,7,0,0.32,0.5,0.273,0.5,"Adams et al. 2016, Drew et al. 2005,  Takekawa et al. 2017; similar spp: Bonnet-Lebrun et al. 2021, MASH: Dean et al. 2013, WTSH: Adams et al. 2020, PFSH: Carle et al. 2019",0.002,0,0.052,5,0.167,0.052,0.5,0.24,1,0.5,"similar spp: WTSH: Adams et al. 2020, MASH: Bradbury et al. 2014, Cook et al. 2012, Johnston et al. 2014; SCSH: Courbin et al. 2023",0.39,0.28,0.5,2,0.667,0.22,0.5,0.462,1,0.5,similar spp: Cook et al. 2012; NOFU: Krijgsveld et al. 2011,0.00045,0.03,5,0.125
7067,Shearwaters,Black-vented Shearwater,BVSH,Puffinus opisthomelas,0.3,0.28,0.32,3,0.5,0.653,0.36,0.945,3,0.5,0.476,0.22,0.18,0.33,0.348,7,0,0.585,0.5,0.362,0.5,"Adams et al. 2016, Drew et al. 2005, Takekawa et al. 2017; similar spp: Bonnet-Lebrun et al. 2021, MASH: Dean et al. 2013; WTSH: Adams et al. 2020; PFSH: Carle et al. 2019",0.002,0,0.052,5,0.167,0.052,0.5,0.24,1,0.5,"similar spp: WTSH: Adams et al. 2020, MASH: Bradbury et al. 2014, Cook et al. 2012, Johnston et al. 2014; SCSH: Courbin et al. 2023",0.39,0.28,0.5,2,0.667,0.22,0.5,0.462,1,0.5,similar spp: Cook et al. 2012; NOFU: Krijgsveld et al. 2011,0.00045,0.04,5,0.125
6966,Petrels and Fulmars,Mottled Petrel,MOPE,Pterodroma inexpectata,NA,NA,NA,3,0.5,NA,NA,NA,5,0.5,NA,0.36,0.36,NA,0.36,1,0.833,0,0.5,0.444,0.5,similar spp: Bonnet-Lebrun et al. 2021,0.002,0.001,0.01,5,0.167,0.009,0.5,0.225,1,0.5,"similar spp: NOFU: Bradbury et al. 2014, Cook et al. 2012, Deakin et al. 2022, Furness et al. 2013, Johnston et al. 2014",0.39,0.28,0.5,2,0.667,0.22,0.5,0.462,1,0.5,similar spp: Cook et al. 2012; NOFU: Krijgsveld et al. 2011,0.00044,0.046,5.67,0.125
